i,x,y,z,r,theta
354,-9,30,0,31,286
355,-70,38,0,79,331
356,58,-113,0,127,118
357,42,30,0,51,215
358,-7,-138,0,138,88
359,-81,56,0,98,325
360,13,91,0,91,261
361,-49,15,0,51,342
362,-107,-106,0,150,45
363,-222,-75,0,234,19
364,-40,169,0,173,283
365,190,92,0,211,205
366,-43,1,0,43,358
367,34,-55,0,64,122
368,-34,13,0,36,339
369,30,-101,0,105,107
370,-87,-144,0,168,59
371,-206,-23,0,207,7
372,67,-17,0,69,166
373,77,2,0,77,181
374,46,180,0,185,255
375,109,-10,0,109,175
376,13,56,0,57,256
377,12,36,0,37,251
378,-59,-150,0,161,69
379,-61,108,0,124,299
380,-94,179,0,202,297
381,152,-176,0,232,131
382,-64,-86,0,107,54
383,174,-178,0,248,135
384,74,-17,0,75,168
385,133,-127,0,183,137
386,165,2,0,165,180
387,-20,40,0,44,296
388,97,-93,0,134,137
389,0,-79,0,79,90
390,98,-126,0,159,128
391,-11,38,0,39,286
392,65,22,0,68,198
393,155,-45,0,161,164
394,10,120,0,120,265
395,-56,68,0,88,309
396,103,-113,0,152,133
397,105,-2,0,105,179
398,149,64,0,162,203
399,82,4,0,82,182
400,135,22,0,136,189
401,-29,-21,0,35,36
402,22,21,0,30,223
403,19,-111,0,112,100
404,-44,-70,0,82,58
405,-53,24,0,58,335
406,15,-162,0,162,96
407,96,226,0,245,246
408,-125,165,0,207,307
409,-163,130,0,208,321
410,-55,33,0,64,329
411,46,75,0,87,238
412,137,-3,0,137,179
413,-16,194,0,194,274
414,26,-19,0,32,144
415,-54,-189,0,196,75
416,30,-31,0,43,135
417,-16,64,0,65,284
418,4,34,0,34,263
419,53,-114,0,125,115
420,169,97,0,194,209
421,-190,105,0,217,331
422,83,182,0,200,245
423,26,190,0,191,262
424,140,17,0,141,186
425,-44,26,0,51,329
426,203,-109,0,230,152
427,-100,24,0,102,346
428,-25,-120,0,122,79
429,10,-136,0,136,95
430,49,3,0,49,183
431,73,129,0,148,240
432,-53,-216,0,222,77
433,101,17,0,102,189
434,-119,71,0,138,329
435,223,62,0,231,195
436,103,115,0,154,228
437,33,43,0,54,232
438,28,119,0,122,256
439,-99,-143,0,173,56
440,42,-185,0,189,103
441,-81,16,0,82,348
442,-82,38,0,90,335
443,20,-57,0,60,110
444,-72,210,0,222,288
445,102,-29,0,106,165
446,-102,99,0,142,315
447,100,91,0,135,222
448,-8,-109,0,109,86
449,-27,114,0,117,283
450,115,58,0,128,206
451,164,-23,0,165,173
452,-108,-78,0,133,36
453,62,-75,0,97,130
454,-46,-80,0,92,61
455,44,41,0,60,222
456,57,-106,0,120,119
457,-158,153,0,219,315
458,110,49,0,120,204
459,54,133,0,143,247
460,-5,62,0,62,274
461,93,63,0,112,214
462,-162,-99,0,189,32
463,122,-125,0,174,135
464,54,-138,0,148,112
465,-23,42,0,47,298
466,9,93,0,93,264
467,-37,-118,0,123,73
468,90,64,0,110,215
469,-108,-14,0,108,8
470,52,203,0,209,255
471,-115,-215,0,243,62
472,-129,-201,0,238,58
473,140,57,0,151,202
474,-85,6,0,85,355
475,-9,77,0,77,276
476,-124,0,0,124,360
477,-131,-71,0,149,29
478,40,106,0,113,249
479,-33,7,0,33,348
480,-66,83,0,106,308
481,69,-43,0,81,149
482,25,47,0,53,241
483,-45,-43,0,62,44
484,-57,-232,0,238,77
485,23,161,0,162,261
486,108,-150,0,184,126
487,-103,-31,0,107,17
488,-38,-44,0,58,50
489,1,-231,0,231,91
490,115,-131,0,174,132
491,163,175,0,239,227
492,-30,-40,0,50,54
493,23,84,0,87,254
494,-116,-31,0,120,15
495,167,62,0,178,200
496,69,64,0,94,222
497,68,-181,0,193,111
498,-49,-114,0,124,67
499,-29,1,0,29,358
500,-107,-69,0,127,33
501,-31,-6,0,31,11
502,-112,-60,0,127,29
503,46,-200,0,205,103
504,102,-142,0,174,126
505,-117,-145,0,186,52
506,-118,-130,0,175,48
507,-110,-159,0,193,56
508,-98,-46,0,108,26
509,-149,5,0,149,358
510,-17,-48,0,50,71
511,-45,-170,0,175,76
512,-48,44,0,65,317
513,-23,-134,0,135,81
514,30,-39,0,49,128
515,-33,184,0,186,280
516,-43,-49,0,65,49
517,171,-124,0,211,145
518,111,-98,0,148,139
519,-2,41,0,41,272
